    SID    PGID     PID USER     TT       %MEM CMD
   1107    1107    1107 avahi    ?         0.0 avahi-daemon: running [dayan-GF63-Thin-11UC.local]
   1107    1107    1164 avahi    ?         0.0 avahi-daemon: chroot helper
   1165    1165    1165 clamav   ?         8.4 /usr/sbin/clamd --foreground=true
   2958    2958    2958 clamav   ?         0.1 /usr/bin/freshclam -d --foreground=true
   2609    2609    2609 colord   ?         0.0 /usr/libexec/colord
   2959    2959    2959 cups-br+ ?         0.1 /usr/sbin/cups-browsed
   2995    2995    2995 dayan    ?         0.0 /usr/lib/systemd/systemd --user
   2995    2995    3002 dayan    ?         0.0 (sd-pam)
   3015    3015    3015 dayan    ?         0.1 /usr/bin/pipewire
   3016    3016    3016 dayan    ?         0.0 /usr/bin/pipewire -c filter-chain.conf
   3020    3020    3020 dayan    ?         0.1 /usr/bin/wireplumber
   3022    3022    3022 dayan    ?         0.1 /usr/bin/pipewire-pulse
   3024    3024    3024 dayan    ?         0.0 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
   3037    3037    3037 dayan    ?         0.0 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   3069    3069    3069 dayan    ?         0.0 /usr/libexec/xdg-document-portal
   3080    3080    3080 dayan    ?         0.0 /usr/libexec/xdg-permission-store
   3131    3131    3131 dayan    tty2      0.0 /usr/libexec/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
   3131    3131    3138 dayan    tty2      0.9 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
   3131    3131    3205 dayan    tty2      0.1 /usr/libexec/gnome-session-binary --session=ubuntu
   3286    3286    3286 dayan    ?         0.0 /usr/libexec/at-spi-bus-launcher
   3286    3286    3293 dayan    ?         0.0 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_1
   3302    3302    3302 dayan    ?         0.0 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
   3303    3303    3303 dayan    ?         0.0 /usr/libexec/gnome-session-ctl --monitor
   3322    3322    3322 dayan    ?         0.0 /usr/libexec/gvfsd
   3322    3322    3329 dayan    ?         0.0 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
   3332    3332    3332 dayan    ?         0.1 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   3375    3375    3375 dayan    ?         2.2 /usr/bin/gnome-shell
   3375    3375    3398 dayan    ?         0.8 /usr/libexec/mutter-x11-frames
   3286    3286    3401 dayan    ?         0.0 /usr/libexec/at-spi2-registryd --use-gnome-session
   3416    3416    3416 dayan    ?         0.0 /snap/snapd-desktop-integration/253/usr/bin/snapd-desktop-integration
   3416    3416    3467 dayan    ?         0.6 /snap/snapd-desktop-integration/253/usr/bin/snapd-desktop-integration
   3037    3037    3484 dayan    ?         0.1 /usr/libexec/gnome-shell-calendar-server
   3494    3494    3494 dayan    ?         0.2 /usr/libexec/evolution-source-registry
   3509    3509    3509 dayan    ?         0.0 /usr/libexec/dconf-service
   3037    3037    3535 dayan    ?         0.1 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   3569    3569    3569 dayan    ?         0.0 /usr/bin/ibus-daemon --panel disable --xim
   3570    3570    3570 dayan    ?         0.0 /usr/libexec/gsd-a11y-settings
   3571    3571    3571 dayan    ?         0.1 /usr/libexec/gsd-color
   3572    3572    3572 dayan    ?         0.0 /usr/libexec/gsd-datetime
